"Zvezna_drzava","Leto","BDP","Populacija"
"Alabama",2010,183014.5,4785437
"Alabama",2011,185666.9,4799069
"Alabama",2012,186553.9,4815588
"Alabama",2013,188814.2,4830081
"Alabama",2014,187568,4841799
"Alabama",2015,189428.8,4852347
"Alabama",2016,191523.4,4863525
"Alabama",2017,193693,4874486
"Alabama",2018,198053.7,4887681
"Alabama",2019,200829.4,4903185
"Alaska",2010,54219,713910
"Alaska",2011,54722.6,722128
"Alaska",2012,57717.5,730443
"Alaska",2013,54748.1,737068
"Alaska",2014,53480.6,736283
"Alaska",2015,54015.3,737498
"Alaska",2016,53289,741456
"Alaska",2017,52825.9,739700
"Alaska",2018,52928.7,735139
"Alaska",2019,53255.2,731545
"Arizona",2010,257396.9,6407172
"Arizona",2011,263144.1,6472643
"Arizona",2012,268068.2,6554978
"Arizona",2013,269967.4,6632764
"Arizona",2014,274112.9,6730413
"Arizona",2015,281935.6,6829676
"Arizona",2016,291259.6,6941072
"Arizona",2017,302117.8,7044008
"Arizona",2018,314016.1,7158024
"Arizona",2019,323597.6,7278717
"Arkansas",2010,105223.6,2921964
"Arkansas",2011,107320.6,2940667
"Arkansas",2012,107718.8,2952164
"Arkansas",2013,110301.4,2959400
"Arkansas",2014,111729.9,2967392
"Arkansas",2015,112938.9,2978048
"Arkansas",2016,113490.4,2989918
"Arkansas",2017,114950.7,3001345
"Arkansas",2018,116698.8,3009733
"Arkansas",2019,117447.1,3017804
"California",2010,2056990.4,37319502
"California",2011,2090836.8,37638369
"California",2012,2144089.6,37948800
"California",2013,2219610.5,38260787
"California",2014,2316331.2,38596972
"California",2015,2437366.9,38918045
"California",2016,2519133.6,39167117
"California",2017,2628314.6,39358497
"California",2018,2708966.9,39461588
"California",2019,2800505.4,39512223
"Colorado",2010,265319.3,5047349
"Colorado",2011,268553.4,5121108
"Colorado",2012,273593.9,5192647
"Colorado",2013,282605.5,5269035
"Colorado",2014,294812,5350101
"Colorado",2015,308898.9,5450623
"Colorado",2016,315793,5539215
"Colorado",2017,328510.2,5611885
"Colorado",2018,342865.6,5691287
"Colorado",2019,356280.2,5758736
"Connecticut",2010,247876.8,3579114
"Connecticut",2011,242323.3,3588283
"Connecticut",2012,244114.4,3594547
"Connecticut",2013,238621.4,3594841
"Connecticut",2014,237700.4,3594524
"Connecticut",2015,245304.5,3587122
"Connecticut",2016,245966.1,3578141
"Connecticut",2017,248077.1,3573297
"Connecticut",2018,249043.3,3571520
"Connecticut",2019,251329.8,3565287
"Delaware",2010,60577,899593
"Delaware",2011,62501.4,907381
"Delaware",2012,61866.7,915179
"Delaware",2013,59496.1,923576
"Delaware",2014,64123.6,932487
"Delaware",2015,66527,941252
"Delaware",2016,62889,948921
"Delaware",2017,61851.1,956823
"Delaware",2018,63162.6,965479
"Delaware",2019,64319.3,973764
"Florida",2010,766653.9,18845537
"Florida",2011,763484.1,19053237
"Florida",2012,768722.9,19297822
"Florida",2013,784238.4,19545621
"Florida",2014,806029.4,19845911
"Florida",2015,842269.4,20209042
"Florida",2016,870963.2,20613477
"Florida",2017,901903.5,20963613
"Florida",2018,936580.3,21244317
"Florida",2019,963255.9,21477737
"Georgia",2010,430702,9711881
"Georgia",2011,438060.2,9802431
"Georgia",2012,443566.1,9901430
"Georgia",2013,449796.1,9972479
"Georgia",2014,465137.8,10067278
"Georgia",2015,484378.4,10178447
"Georgia",2016,500909.3,10301890
"Georgia",2017,519452.6,10410330
"Georgia",2018,538730.8,10511131
"Georgia",2019,547422.7,10617423
"Hawaii",2010,71075,1363963
"Hawaii",2011,72236.3,1379329
"Hawaii",2012,73676.7,1394804
"Hawaii",2013,74294.1,1408243
