"Zvezna_drzava","Lastnost_prebivalstva","Vrednost"
"Alabama","St_prebivalcev",4903185
"Alabama","Mediana_starosti",39.4
"Alabama","Delez_moskih",0.483
"Alabama","Delez_belcev",0.678
"Alaska","St_prebivalcev",731545
"Alaska","Mediana_starosti",35
"Alaska","Delez_moskih",0.52
"Alaska","Delez_belcev",0.642
"Arizona","St_prebivalcev",7278717
"Arizona","Mediana_starosti",38.3
"Arizona","Delez_moskih",0.497
"Arizona","Delez_belcev",0.783
"Arkansas","St_prebivalcev",3017804
"Arkansas","Mediana_starosti",38.8
"Arkansas","Delez_moskih",0.489
"Arkansas","Delez_belcev",0.767
"California","St_prebivalcev",39512223
"California","Mediana_starosti",37
"California","Delez_moskih",0.497
"California","Delez_belcev",0.594
"Colorado","St_prebivalcev",5758736
"Colorado","Mediana_starosti",37.1
"Colorado","Delez_moskih",0.504
"Colorado","Delez_belcev",0.837
"Connecticut","St_prebivalcev",3565287
"Connecticut","Mediana_starosti",41.2
"Connecticut","Delez_moskih",0.489
"Connecticut","Delez_belcev",0.746
"Delaware","St_prebivalcev",973764
"Delaware","Mediana_starosti",41.4
"Delaware","Delez_moskih",0.483
"Delaware","Delez_belcev",0.677
"Florida","St_prebivalcev",21477737
"Florida","Mediana_starosti",42.4
"Florida","Delez_moskih",0.489
"Florida","Delez_belcev",0.745
"Georgia","St_prebivalcev",10617423
"Georgia","Mediana_starosti",37.2
"Georgia","Delez_moskih",0.487
"Georgia","Delez_belcev",0.578
"Hawaii","St_prebivalcev",1415872
"Hawaii","Mediana_starosti",39.6
"Hawaii","Delez_moskih",0.5
"Hawaii","Delez_belcev",0.241
"Idaho","St_prebivalcev",1787065
"Idaho","Mediana_starosti",36.9
"Idaho","Delez_moskih",0.502
"Idaho","Delez_belcev",0.894
"Illinois","St_prebivalcev",12671821
"Illinois","Mediana_starosti",38.6
"Illinois","Delez_moskih",0.491
"Illinois","Delez_belcev",0.714
"Indiana","St_prebivalcev",6732219
"Indiana","Mediana_starosti",38
"Indiana","Delez_moskih",0.493
"Indiana","Delez_belcev",0.828
"Iowa","St_prebivalcev",3155070
"Iowa","Mediana_starosti",38.5
"Iowa","Delez_moskih",0.498
"Iowa","Delez_belcev",0.899
"Kansas","St_prebivalcev",2913314
"Kansas","Mediana_starosti",37.2
"Kansas","Delez_moskih",0.496
"Kansas","Delez_belcev",0.836
"Kentucky","St_prebivalcev",4467673
"Kentucky","Mediana_starosti",39.2
"Kentucky","Delez_moskih",0.492
"Kentucky","Delez_belcev",0.867
"Louisiana","St_prebivalcev",4648794
"Louisiana","Mediana_starosti",37.7
"Louisiana","Delez_moskih",0.488
"Louisiana","Delez_belcev",0.618
"Maine","St_prebivalcev",1344212
"Maine","Mediana_starosti",45.1
"Maine","Delez_moskih",0.488
"Maine","Delez_belcev",0.94
"Maryland","St_prebivalcev",6045680
"Maryland","Mediana_starosti",39
"Maryland","Delez_moskih",0.484
"Maryland","Delez_belcev",0.545
"Massachusetts","St_prebivalcev",6892503
"Massachusetts","Mediana_starosti",39.7
"Massachusetts","Delez_moskih",0.485
"Massachusetts","Delez_belcev",0.77
