"Zvezna_drzava","PVI"
"Alabama","R+14"
"Alaska","R+9"
"Arizona","R+5"
"Arkansas","R+15"
"California","D+12"
"Colorado","D+1"
"Connecticut","D+6"
"Delaware","D+6"
"Florida","R+2"
"Georgia","R+5"
"Hawaii","D+18"
"Idaho","R+19"
"Illinois","D+7"
"Indiana","R+9"
"Iowa","R+3"
"Kansas","R+13"
"Kentucky","R+15"
"Louisiana","R+11"
"Maine","D+3"
"Maryland","D+12"
"Massachusetts","D+12"
"Michigan","D+1"
"Minnesota","D+1"
"Mississippi","R+9"
"Missouri","R+9"
"Montana","R+11"
"Nebraska","R+14"
"Nevada","D+1"
"New Hampshire","EVEN"
"New Jersey","D+7"
"New Mexico","D+3"
"New York","D+12"
"North Carolina","R+3"
"North Dakota","R+17"
"Ohio","R+3"
"Oklahoma","R+20"
"Oregon","D+5"
"Pennsylvania","EVEN"
"Rhode Island","D+10"
"South Carolina","R+8"
"South Dakota","R+14"
"Tennessee","R+14"
"Texas","R+8"
"Utah","R+20"
"Vermont","D+15"
"Virginia","D+1"
"Washington","D+7"
"West Virginia","R+19"
"Wisconsin","EVEN"
"Wyoming","R+25"
